127.0.0.1, 2014-03-22 15:01:20, GET, /, HTTP/1.1, 303, 0.001153
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.926035
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001450
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002116
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001930
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002712
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002357
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001063
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000313
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001137
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001033
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000940
127.0.0.1, 2014-03-22 15:01:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000695
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/default/index, HTTP/1.1, 200, 0.104878
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000353
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.002960
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002408
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004198
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001287
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000560
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001812
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001723
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001166
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.009079
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000355
127.0.0.1, 2014-03-22 15:01:23, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000302
127.0.0.1, 2014-03-22 15:01:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2014-03-22 15:01:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2014-03-22 15:01:27, POST, /admin/default/index, HTTP/1.1, 303, 0.031284
127.0.0.1, 2014-03-22 15:01:28, GET, /admin/default/site, HTTP/1.1, 200, 0.045111
127.0.0.1, 2014-03-22 15:01:28, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000371
127.0.0.1, 2014-03-22 15:01:28, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000961
127.0.0.1, 2014-03-22 15:01:28, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000428
127.0.0.1, 2014-03-22 15:01:28, POST, /admin/default/check_version, HTTP/1.1, 200, 0.674089
127.0.0.1, 2014-03-22 15:01:35, POST, /admin/default/site, HTTP/1.1, 303, 0.044412
127.0.0.1, 2014-03-22 15:01:35, GET, /admin/default/design/raju, HTTP/1.1, 200, 0.100400
127.0.0.1, 2014-03-22 15:01:35, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-03-22 15:01:35, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000487
127.0.0.1, 2014-03-22 15:01:35, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2014-03-22 15:01:35, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.004036
127.0.0.1, 2014-03-22 15:01:41, GET, /admin/default/peek/raju/views/default/index.html, HTTP/1.1, 200, 0.039687
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/default/edit/raju/views/default/index.html, HTTP/1.1, 200, 0.035549
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001599
